Vedat Verter	45.5016889	-73.567256
Iffat A. Gheyas	56.1495541	-3.9182213
Leslie S. Smith	56.1495541	-3.9182213
A. Carmona-Poyato	38.1382192	-5.2057909
F. J. Madrid-Cuevas	38.1382192	-5.2057909
R. Medina-Carnicer	38.1382192	-5.2057909
Rafael Muñoz-Salinas	36.9879139	-3.5663073
F. A. Andaló	-22.9099384	-47.0626332
Ricardo da Silva Torres	-22.8127125	-47.0675404
Tristan Roussillon	45.7500836	4.8404785
Laure Tougne	45.733316	4.911927
Gonzalo Martínez-Muñoz	40.5474828	-3.6983491
Joviša unić	50.7377915	-3.5329371
Paul L. Rosin	51.4919075	-3.1868361
G. A. Papakostas	41.1300361	24.8864902
Miin-Shen Yang	43.1225229	-77.6665722
Yuechen Chi	34.0729489	-118.4431764
Yifan Gong	47.6419587	-122.1305878
Eyke Hüllermeier	50.8021728	8.7667933
Stijn Vanderlooy	50.8442878	5.6886039
Alejandro F. Frangi	8.4944302	76.9473164
Yufei Zha	34.25029	108.909672
S. Gong	48.4284207	-123.3656444
Shandong Wu	22.3376239	114.1714978
Chih-Fong Tsai	43.1225229	-77.6665722
M. Ortega	43.3623436	-8.4115401
Chuan-Xian Ren	23.0977207	113.2979248
Dao-Qing Dai	23.0977207	113.2979248
Xiaoyang Tan	32.0424094	118.8147645
Surinder Ram	47.070714	15.439504
Josef Birchbauer	47.070714	15.439504
Vivek Kanhangad	22.3185673	114.1796057
Nan Luo	31.2869053	121.5009781
Wen Ju	40.2736183	-111.7135023
Yanhui Guo	41.7513386	-111.8439873
D. Bertolini	-25.2520888	-52.0215415
Luiz S. Oliveira	45.5016889	-73.567256
Robert Sabourin	45.494911	-73.5638858
V. Papavassiliou	37.9838096	23.7275388
T. Stafylakis	37.9838096	23.7275388
V. Katsouros	37.9838096	23.7275388
G Carayannis	37.9838096	23.7275388
Qing Li	22.3374868	114.1720025
Andrzej Ruta	51.5328475	-0.4728554
Yongmin Li	52.056736	1.14822
Xiaohui Liu	51.5328475	-0.4728554
Jing Chai	37.873499	112.562678
Hongwei Liu	22.5304928	113.9426009
Gianluigi Folino	42.106716	12.6374097
Agostino Forestiero	39.3317751	16.1839028
Giuseppe Papuzzo	39.3317751	16.1839028
Heriberto Cuayáhuitl	19.3147419	-99.2293733
Hiroshi Shimodaira	55.9462691	-3.1847238
Shile Zhang	31.230416	121.473701
Dan Zhang	51.5169409	-0.0591022
Chang-shui Zhang	39.9990443	116.3246671
Pierrick Bruneau	47.218371	-1.553621
Antonio Robles-Kelly	51.3085131	1.069896
